"label","n","rssi1","rssi2","rssi3","dist1","dist2","dist3","x","y"
"d","5","-70.0","-37.0","-52.0","642.0726690888006","100.53413235792004","208.79136806366714","607.2195641774322","359.77307764424665"
"d","5","-70.0","-37.0","-51.0","642.0726690888006","100.53413235792004","192.75033412862905","612.5871842367652","355.7473625997469"
"d","5","-71.0","-37.0","-51.0","688.8757989172035","100.53413235792004","192.75033412862905","664.497645855931","394.6802088141212"
"d","5","-71.0","-37.0","-52.0","688.8757989172035","100.53413235792004","208.79136806366714","659.1300257965979","398.70592385862096"
"d","5","-72.0","-37.0","-51.0","739.0905876857745","100.53413235792004","192.75033412862905","724.2518379158378","439.49585285905135"
"d","5","-72.0","-37.0","-52.0","739.0905876857745","100.53413235792004","208.79136806366714","718.8842178565047","443.5215679035511"
"d","5","-73.0","-37.0","-52.0","792.9657242485862","100.53413235792004","208.79136806366714","787.6673370459891","495.1089072956643"
"d","5","-68.0","-37.0","-56.0","557.7899641255992","100.53413235792004","287.4631242745907","490.4121635512737","320.9690427243915"
"d","5","-56.0","-38.0","-52.0","239.76719888702527","106.52723256347221","208.79136806366714","311.57872857019385","136.4912765529774"
"d","5","-59.0","-38.0","-56.0","296.11472294300324","106.52723256347221","287.4631242745907","304.207401104919","179.7642965037851"
"d","5","-59.0","-38.0","-51.0","296.11472294300324","106.52723256347221","192.75033412862905","342.1093648640945","151.33782368440345"
"d","5","-64.0","-37.0","-53.0","420.962801127586","100.53413235792004","226.1673660643619","405.04833538391034","217.59195866734686"
"d","5","-66.0","-37.0","-51.0","484.5707644288582","100.53413235792004","192.75033412862905","464.7134453603915","244.8420584424666"
"d","5","-66.0","-37.0","-54.0","484.5707644288582","100.53413235792004","244.98942627213066","445.6575056283502","259.1340132414976"
"d","5","-63.0","-37.0","-53.0","392.3620335217687","100.53413235792004","226.1673660643619","385.6635732307054","203.05338705244316"
