label,rssi1,rssi2,rssi3,KF rssi1,KF rssi2,KF rssi3,dist1,dist2,dist3,measured dist1,measured dist2,measured dist3,estimated x,estimated y,estimated x (KF),estimated y (KF)
d,-52.0,-43.89,-54.89,-27.663540346146256,-17.30816927552265,-27.653354812502215,180.95175272689156,149.82252986690355,277.42432191059817,32.652754995549294,32.14555209393194,34.71057679561203,263.14940202281576,128.0088814319068,299.8844818894294,87.62772094464754
e,-63.62,-29.0,-57.61,-29.498335072874944,-13.851346949755555,-28.153657677072058,409.85681225465135,63.26108690937249,341.4218829803721,37.15225528169426,26.314298432463207,36.06143251306118,342.8447536447347,260.34223655968566,300.0665526313518,88.30989523964053
f,-58.0,-52.77,-61.42,-29.86585506361905,-16.257357142602537,-29.49768317254669,275.9962983390512,250.54368935323134,456.62868040816755,38.12548669573895,30.24795374024413,39.956455399889194,189.7201707712951,186.96214244919122,299.8808620063864,88.26262103310401
a,-58.0,-52.47,-57.64,-30.201877623754473,-18.345676992516314,-29.839596409600396,275.9962983390512,246.22907586010982,342.2044238558763,39.03760377478363,34.13588842933636,41.01273347476067,265.89174082527194,132.5126930034646,299.8682418345043,88.04716316114285
b,-44.0,-35.07,-49.0,-27.31978484903047,-16.229587108630106,-28.18104182384696,103.06443887395848,89.904123373188,176.98517810432082,31.872474402382657,30.199354769630798,36.13687104863587,282.74877107648814,103.61283064376202,299.7583176461207,87.81107876044518
c,-56.24,-42.94,-48.61,-27.592811272325374,-16.163919679989615,-26.648403946161814,243.85035272771222,141.8036374192658,171.79536166806344,32.49066344133175,30.0847438376819,32.14811658475814,324.9577901956408,117.97506102838824,300.01845150909224,87.67435061702952
d,-52.13,-44.0,-55.19,-26.935812761529192,-16.366158343869447,-26.831546704920413,182.61446311963041,150.77985049497892,283.8488879872726,31.022932240150414,30.43911602266122,32.60057731829233,260.648209107383,130.28069170094105,299.9163539027425,87.60758774861304
e,-62.55,-29.0,-57.04,-28.763409764448923,-13.148210664927927,-27.45199485641612,380.13376052290096,63.26108690937249,326.8889887702641,35.27997411283857,25.264455911699397,34.181279530741264,331.3710540916969,239.59634789663605,300.06359725253657,88.210281861708
f,-58.9,-52.52,-62.18,-29.56258145778837,-15.702655095890726,-29.19449925200145,294.03858683134564,246.94298336819784,483.89514823958643,37.32057639310889,29.291853031585944,39.04260331171009,176.9201467133029,211.65720685375877,299.89041712413194,88.25070311726334
a,-58.0,-52.86,-55.1,-30.06224844323316,-18.05955373952522,-29.12443451023413,275.9962983390512,251.85275633726687,281.90605102834627,38.65596671304864,33.57500123429082,38.8344060770271,297.2524459087183,105.49084784618607,299.9884772226374,87.96739590131908
b,-44.0,-35.02,-49.0,-27.310406477096432,-16.07037326478708,-27.671506988353087,103.06443887395848,89.64421224792034,176.98517810432082,31.851450045616108,29.922225800710017,34.758692688895984,282.74877107648814,103.67116390620107,299.8386234604728,87.77000149607007
c,-57.0,-42.95,-48.0,-27.857136196040592,-16.119548977013842,-26.173871851687043,257.2447460220365,141.88577026930523,163.98143552450733,33.10057121816467,30.007548933967893,31.004768340423755,332.7374567993866,120.50101683924507,300.1119601292712,87.66002343047701
d,-51.62,-43.75,-54.84,-27.13728773255127,-16.352970621970513,-26.43921706905925,176.17781985933212,148.6129074300738,276.3677879979898,31.465835171576057,30.415881177066854,31.63899053278943,262.2162249729045,127.0288662147811,299.99089421759237,87.5880455308899
e,-62.23,-29.0,-58.0,-28.93874343464064,-13.209040878711427,-27.42236791459745,371.6706643325218,63.26108690937249,351.73599671886234,35.71789727011094,25.353601149879605,34.1040858982822,312.0173927813055,246.15835242454955,300.09389959203395,88.2207791736383
f,-58.93,-52.7,-60.2,-29.78285723086102,-15.859924322045565,-28.805554758772494,294.6598945886179,249.53023209533177,416.0348248775152,37.90349462790221,29.55981509337251,37.900792128363506,228.1162316400922,172.1117222067124,300.0001707175416,88.20348725766006
a,-58.0,-52.8,-62.13,-30.304907748063425,-18.237489557713317,-30.4603398360062,275.9962983390512,250.97928724061495,482.05229743710146,39.321621354150885,33.922715416208725,43.00228436195839,169.83294936039235,201.60448057102002,299.74749453797705,88.18367820240488
b,-43.76,-36.0,-50.22,-27.508670762203657,-16.493811777793873,-29.185567955754653,101.33867569699741,94.87819711206384,194.25419098839555,32.298884204069736,30.664942242421517,39.016002035906716,277.1123637295543,106.25029583381622,299.600807921635,87.92799310639482
c,-56.52,-42.52,-49.2,-27.953772082694712,-16.428377533747636,-27.812446203978404,248.70199922317227,138.39665218690735,179.7071430343924,33.32639722877642,30.548976813230954,35.13455613561718,324.631689300016,122.40004687631172,299.89684309783615,87.79912863651647
d,-52.53,-43.53,-54.2,-27.45463589584668,-16.599399840281023,-27.742747920440166,187.82693357666759,146.7317733723435,263.1942554763627,32.17632129498924,30.85299904425985,34.94817614549776,271.6731173842142,125.93109153661575,299.8449505301514,87.72054722995308
e,-61.27,-29.0,-57.76,-29.01876174425213,-13.443594565410777,-28.50110720787829,347.3951970881825,63.26108690937249,345.35256439503206,35.9195579106115,25.70028867093301,37.030384472382536,301.17919102142696,232.4674290376572,299.93247105526774,88.33778396195481
f,-58.26,-52.83,-61.39,-29.714996335789778,-16.108091647367225,-29.997213220471856,281.09169267953934,251.41564246305657,455.58447822246626,37.72294973511989,29.987647990741,41.509020533539115,192.87943574684311,187.59381621278902,299.7500184592205,88.34218853646185
a,-57.75,-53.22,-65.32,-30.200672111554198,-18.558662070909534,-32.194034412439315,271.18400564148527,257.1577800852383,614.9188654985367,39.03429277535181,34.559477651018476,49.08513638868905,46.179628141461436,287.12858021564557,299.26193783181304,88.46519477234101
b,-43.61,-36.0,-50.24,-27.39476891339061,-16.77871986283438,-30.659743924689327,100.27477888849126,94.87819711206384,194.55089884977937,32.041072883785496,31.17502182223027,43.66165760284252,276.83748253156557,106.18833684370102,299.26690833909686,88.11825420308679
c,-56.42,-43.38,-48.62,-27.842742894813178,-16.87251501136146,-28.90706317490015,246.9582858525674,145.462852509799,171.92651349709632,33.06706705476822,31.344795671060837,38.19552645994988,326.1913907566427,117.64264879620659,299.69544390170984,87.8670854586476
d,-53.0,-44.36,-53.0,-27.47576598396147,-17.171912464848184,-28.354065128361704,194.142017292385,153.95587564246745,240.16280658670374,32.22419348923065,31.892930318648897,36.61718221861053,283.34412434229523,117.47779578517583,299.74798384366704,87.71556166940118
e,-61.54,-29.0,-56.6,-29.109666853087763,-13.934050391009979,-28.695061471451666,354.0577708094289,63.26108690937249,316.0950666815157,36.15003706874296,26.440614747659996,37.58255439839173,321.2006782417919,223.29316626063974,299.91198065413624,88.32566334919451
f,-58.55,-52.51,-63.07,-29.869592618148868,-16.448025569189248,-30.474920314041988,286.8860734770242,246.8000364681474,517.9022973169215,38.13551396787526,30.583751774207624,43.05015862732202,145.06735799076628,230.4411829499073,299.66750105646366,88.39806364891182
a,-58.0,-53.87,-55.0,-30.399338574071294,-18.98355881866872,-30.197142175265842,275.9962983390512,267.0209212587868,279.76293572699115,39.58374820873449,35.42028858199055,42.14718502180412,298.25554707522826,94.90057007728791,299.8254065974919,88.0212904006573
b,-44.0,-36.0,-50.72,-27.660815656786983,-17.12801585467564,-28.96329369483948,103.06443887395848,94.87819711206384,201.80945241219302,32.64649580807211,31.811969038045408,38.35977969454271,274.9126862312456,108.34099316802615,299.6619341586105,87.82078977412827
c,-56.51,-43.02,-48.25,-28.096253408487485,-17.071297658827415,-27.313186006742594,248.52707527775922,142.46203376437208,167.13993821826796,33.66217178055466,31.707664360377706,33.821112063960655,328.1916234987588,118.1941274782258,299.99106182311715,87.66641091990363
d,-53.0,-45.78,-54.92,-27.694329123063124,-17.64284497535173,-27.3960829497908,194.142017292385,167.14953210092077,278.0601800162913,32.723566776386605,32.77457101425248,34.035745813827525,266.978049306387,124.45665901620974,299.9269998578876,87.55057425333474
e,-62.53,-29.0,-55.75,-29.519971404198728,-14.320106962620333,-27.68272511121809,379.599216265021,63.26108690937249,296.24214017579106,37.20885603066178,27.038323237286672,34.78846185929385,346.946799477571,227.40690023190055,300.14521824047915,88.2078713741738
f,-58.73,-53.0,-62.31,-30.260804882839317,-16.86863394403595,-29.44581387672421,290.5425075188255,253.902690963479,488.71959858356274,39.19979329124111,31.337752445413397,39.79860879170195,171.30675219637342,208.9554010987585,299.96057877693426,88.22277724948184
a,-58.0,-51.94,-59.03,-30.728675640506033,-18.882536331684165,-30.252305227599948,275.9962983390512,238.7873778291088,380.4988039800495,40.511692151479004,35.21370093984476,42.324983685321214,242.828847388842,154.3215455663147,299.87482746417794,88.09536998573579
