label,acc dist1,acc dist2,acc dist3,acc measured dist1,acc measured dist2,acc measured dist3,acc estimated x,acc estimated y,acc estimated,acc measured x,acc measured y,acc measured
f,42.16654836533439,27.22720611145857,67.95209490570005,251.38468062542245,181.01325459620284,509.52228314381483,41.447619273642886,78.34589754590075,88.63399351109952,198.99304431304893,208.75676347892946,288.4053015864527
a,134.57494210174167,106.50537581620745,239.78940405660222,79.35169516416282,314.2213074736821,443.5902081447952,202.6776404054317,0.0326201242845201,202.67764303046843,199.54616294799308,10.027347281989293,199.7979450364308
b,213.1633271428795,205.12180288793616,128.81742231004245,268.7030975037418,260.2078082726323,260.8795583586795,20.416965306579414,4.838231821394899,20.98239641908487,0.670691644742476,11.15301177292804,11.173159754044457
c,264.5025521868687,212.62904307190217,34.62090659021689,464.3205357414384,322.1837727930975,95.05325972388391,175.6416776560468,17.15468154981484,176.47742640039323,200.0602791037934,11.698159942001766,200.40200153969613
d,402.1434367576385,69.472527575053,45.702643233368576,542.1019793082303,186.13699663545108,272.52466151841094,233.70025436839757,175.99210475798054,292.55602852957537,200.1912650518684,212.01097960485367,291.59080588399405
e,6.8405532292235876,36.73891309062751,66.02664949793285,379.09631371310667,70.03439720980934,380.0029470500668,38.256952294029986,28.392181519291398,47.64147741466545,0.06756600072282026,211.12293857422452,211.12294938585012
f,40.23146767778678,19.224146472105645,121.56183178626088,271.4129842829577,190.16112090624,535.6279259132143,85.96743035718345,105.46671123655085,136.06478699969065,199.79601962575555,211.23482551641723,290.7552251796114
a,129.95352026259906,106.65243658291993,135.73794332035908,97.0871083776762,323.2715102847039,461.7493373112737,144.70468223632673,40.44367221881083,150.25024353943292,199.70570941135276,11.559960287060989,200.04000363259868
b,213.1633271428795,205.12180288793616,139.24258791251714,280.98291925830983,267.1986299336904,275.10167235514297,17.25122892351186,2.463929534094234,17.426297602198638,0.37429696403194157,12.01144059596956,12.017271046614082
c,270.13475247225324,214.41688890275904,22.560079287197823,474.9454689674801,328.2203002277679,106.2116841434092,174.50133461212317,13.540907044423491,175.02591792359752,200.0148044564599,12.268378403302066,200.39070614777148
d,402.1434367576385,73.78426788307542,38.803444106239795,550.4424344889807,191.46124565604703,281.5171892212259,236.85059797718424,171.9911185680932,292.71001115174323,200.11551811057058,212.37227905535246,291.8016543815792
e,14.407256457277185,36.73891309062751,82.84218573155641,387.1118134302343,73.6857015675368,388.20263619886737,42.84475364473468,39.65776344031434,58.381599121349346,0.06655263135178302,211.69010476035947,211.69011522200253
f,40.23146767778678,26.936891603252377,126.46650907636246,278.102279321099,193.35884400973484,543.1387340846409,89.7201707712951,113.03785755080878,144.31654888787804,199.8808620063864,211.737378966896,291.17877094353395
a,134.57494210174167,114.3260516862891,167.69752750340217,102.38375246252588,326.41923911706255,468.8892178845178,165.89174082527194,32.51269300346459,169.04775916993617,199.86824183450432,11.952836838857152,200.22533406767548
b,213.1633271428795,210.09587662681201,139.24258791251714,284.3552916144553,269.8006452303692,280.09089496820206,17.25122892351186,3.612830643762024,17.625477146219843,0.24168235387929826,12.188921239554816,12.191317047154797
c,266.05159863156626,218.7514901271331,30.374005430753925,477.41128791794677,330.470383708717,109.27323965255137,175.04220980435917,17.97506102838824,175.96271773352325,199.98154849090776,12.325649382970482,200.36102757156445
d,400.4807263648996,72.82694725500005,32.378878029565385,552.0722572443796,193.16768172731776,283.62718869854564,239.35179089261698,169.71930829905895,293.4176603631998,200.08364609725749,212.39241225138696,291.7944519992381
e,44.13030818902757,36.73891309062751,97.37507994166441,388.98409459909,74.7355440883006,390.08278918118725,31.37105409169692,60.40365210336395,68.06426538388847,0.06359725253656734,211.78971813829202,211.78972768693882
f,22.18917918549232,23.336185618218877,99.20004124494358,278.9071896237291,194.314944718393,544.0525861728199,76.9201467133029,88.34279314624123,117.13734703874597,199.89041712413194,211.74929688273664,291.1939964841185
a,134.57494210174167,108.70237120913205,227.99590033093222,102.76538952426087,326.9801263121081,471.0675452822514,197.2524459087183,5.490847846186071,197.3288545221955,199.9884772226374,12.03260409868092,200.35012998055416
b,213.1633271428795,210.35578775207966,139.24258791251714,284.37631597122186,270.07777419929,281.469073327942,17.25122892351186,3.6711639062010732,17.63752657822535,0.1613765395272253,12.229998503929934,12.231063150586634
c,252.65720533724198,218.6693572770937,22.560079287197823,476.80138014111384,330.54757861243104,110.41658789688576,167.26254320061338,20.501016839245068,168.51424286801418,199.8880398707288,12.339976569522989,200.26857842681773
d,406.9173696251979,74.99389031990518,39.85997801884815,551.629354312954,193.1909165729121,284.58877548404854,237.7837750270955,172.9711337852189,294.0410460957457,200.00910578240763,212.4119544691101,291.75757196217825
e,52.59340437940671,36.73891309062751,72.52807199306619,388.5461714418176,74.64639885012039,390.1599828136463,12.017392781305489,53.84164757545045,55.166482060207386,0.09389959203394938,211.7792208263617,211.77924164316542
f,21.567871428220087,25.923434345352803,167.06036460701483,278.32427138893576,194.04698265660645,545.1943973561665,128.1162316400922,127.88827779328761,181.0225963977726,200.0001707175416,211.79651274233993,291.30367504867144
a,134.57494210174167,109.57584030578397,27.849653922177026,102.09973488315862,326.6324121301902,466.8996669973201,69.83294936039235,101.60448057102002,123.28873139292945,199.74749453797705,11.816321797595123,200.0966942131316
b,214.88909031984053,205.12180288793616,121.97357502844241,283.9288818127682,269.3350577575785,277.21176398093127,22.887636270445682,6.2502958338162244,23.72572637578123,0.39919207836499027,12.072006893605177,12.078605248731341
c,261.1999521361062,222.15847535949158,38.28578679708289,476.57555413050204,330.00615073316794,106.28680010169234,175.36831069998402,22.40004687631172,176.79311778976887,200.10315690216385,12.200871363483529,200.4747731367722
d,395.26825590786245,76.87502437763547,53.03351054047528,550.9188681895407,192.7537987057191,281.2795898713402,228.3268826157858,174.06890846338425,287.1117382112352,200.15504946984862,212.27945277004693,291.76122068675977
e,76.86887162374603,36.73891309062751,78.91150431689647,388.344510801317,74.299711329067,387.233684239546,1.1791910214269592,67.53257096234279,67.54286514687453,0.06752894473225979,211.6622160380452,211.66222681029907
f,35.136073337298626,27.808844713077605,127.51071126206375,278.5048162817181,193.61914975923796,541.5861689509909,92.87943574684311,112.40618378721098,145.81405878123073,199.75001845922048,211.65781146353817,291.0310963247632
a,129.76264940417576,103.39734746116062,105.01691413925818,102.3870634619577,325.99564989538044,460.81681497058946,53.820371858538564,187.12858021564557,194.71450372407975,199.26193783181304,11.534805227658993,199.59551999012743
b,215.9529871283467,205.12180288793616,121.67686716705859,284.1866931330525,268.8249781777697,272.56610841399544,23.16251746843443,6.188336843701023,23.974939590468995,0.7330916609031419,11.881745796913208,11.90433982065996
c,262.9436655067111,215.09227503659991,30.505157259786813,476.83488430451024,329.21033187533806,103.22582977735962,173.8086092433573,17.642648796206586,174.70173354508066,200.30455609829016,12.132914541352406,200.67167914033317
d,388.953172192145,69.65092210751152,76.06495943013422,550.8709959952994,191.71386743133007,279.6105837982274,216.65587565770477,182.52220421482417,283.29158739441027,200.25201615633296,212.28443833059882,291.83137722324176
e,70.20629790249961,36.73891309062751,108.16900203041286,388.11403164318557,73.55938525234001,386.6815143135368,21.200678241791877,76.70683373936026,79.58270603736622,0.08801934586375637,211.6743366508055,211.67435495109885
f,29.341692539813778,23.19323871816843,65.19289216760853,278.0922520489627,193.02304597577134,540.045030857208,45.06735799076628,69.5588170500927,82.88242145157291,199.66750105646366,211.60193635108817,290.93382485655206
a,134.57494210174167,93.53420628761211,230.13901563228734,101.83760802857502,325.13483896440835,467.7547663374744,198.25554707522826,5.0994299227120905,198.32111872323304,199.8254065974919,11.978709599342693,200.184121761738
b,213.1633271428795,205.12180288793616,114.41831360464494,283.58127020876583,268.1880309619546,277.8679863222952,25.087313768754427,8.340993168026145,26.43757702893732,0.33806584138949347,12.179210225871728,12.18390127336449
c,261.37487608151923,218.09309378202684,25.718581980958447,476.2397795787238,328.84746318602123,107.60024417334886,171.80837650124118,18.194127478225795,172.76904963183125,200.00893817688285,12.333589080096374,200.3888539071992
d,388.953172192145,56.4572656490582,38.167586000546635,550.3716227081434,190.8322267357265,282.19202020301043,233.021950693613,175.54334098379024,291.7442271387865,200.0730001421124,212.44942574666527,291.82865501172694
e,44.6648524469075,36.73891309062751,128.02192853613747,387.05521268126677,72.96167676271332,389.47560685263466,46.946799477571005,72.59309976809945,86.4509115922354,0.14521824047915288,211.7921286258262,211.792178411281
f,25.685258498012445,30.295893213500023,94.37559090096727,277.02797272559684,192.26904530456557,543.296580692828,71.30675219637342,91.0445989012415,115.64502539185571,199.96057877693426,211.77722275051815,291.2624677858943
a,134.57494210174167,121.76774971729012,129.40314737922898,100.90966408583051,325.34142660655414,467.57696767395726,142.828847388842,54.32154556631471,152.81004534760902,199.87482746417794,11.904630014264214,200.22903603027063
b,214.88909031984053,205.39609396658224,138.2946222051901,283.0782921308359,268.4267076164036,278.68594073836994,17.8255637288961,2.5187079907239536,18.002627924707905,0.25875085526689645,12.178418324826467,12.181166811909705
c,263.4643916100618,220.70847845200183,22.560079287197823,475.8954588362521,329.23350460562244,108.27720102782804,171.79870028460783,17.817007203727528,172.72011800939168,199.95174457569294,12.316944730637175,200.33074473570133
d,388.953172192145,56.84395845448597,53.03351054047528,550.1219272369182,191.23586840141664,283.10898812969435,226.31674436450015,180.41084384104704,289.42588231736494,200.0080145212401,212.44479041361967,291.78073076647024
e,52.59340437940671,36.73891309062751,106.7183581511473,387.03329691787536,73.27565372090848,389.65987751644326,31.08650369152224,68.14348075811301,74.89929693658242,0.15723360007268639,211.77800059463436,211.77805896330702
f,37.30319813466508,26.791860376886916,129.93790640341723,277.41588377774815,192.70312288746692,544.0494669942526,93.70615946566761,113.9053363785984,147.4966778518309,199.9848281317943,211.79946474517936,291.29528789399905
a,134.57494210174167,80.06322130316056,99.22955801493788,101.30100258609866,324.48357483543316,467.44420064156867,122.9351183680748,42.17147026006009,129.96721214240034,199.83915181757584,11.993756535534075,200.19874324031554
b,213.1633271428795,207.4549560472747,134.72893692983405,283.25675601968044,267.9226053423856,278.3234931057812,18.599621999624617,4.021833249958547,19.02947926821415,0.29137200390272255,12.208810681807591,12.212287087555609
c,258.5612700450006,219.7333837619919,22.560079287197823,475.92185048411784,328.7614866219103,107.93073230563843,169.7648109276273,19.00032639702576,170.82477405952147,199.97247886320537,12.34087628728247,200.35291245757602
d,388.953172192145,54.412369002773715,46.93848298966833,550.1577186344732,190.721886641339,282.5777859754642,229.02132922910863,179.40354287908906,290.9233583599586,200.03953680898877,212.46602288403943,291.81779789265073
e,65.18881216542275,36.73891309062751,98.86840671317566,387.3718163853219,72.9249340148395,388.9352980585776,19.210585846943673,70.74159595147799,73.30361523379976,0.0940968715441386,211.7855987991216,211.78561970285833
f,22.395990509377327,25.058020166110026,98.83062653470023,277.27640892536607,192.42440340027758,542.6953203499833,76.5207878073976,89.26194006976684,117.57178620605973,199.9042156609824,211.74707861837794,291.20185566450306
a,134.57494210174167,90.8927875783699,228.42583276509873,101.18066838623349,324.5556035354546,469.7419211451054,197.45429279834485,6.270495723976538,197.55383281809267,200.005404109937,12.099869045311323,200.37107701485485
b,216.30513152750882,207.61557657527464,125.20764737702541,283.4077804501047,268.01918359558584,279.6953269683055,22.086794034900038,5.877159515886376,22.85535986842626,0.21455637519517268,12.271109175218982,12.27298475629626
c,253.56059597574227,210.2111787558075,22.560079287197823,475.91177143958936,328.3933593499065,108.96627895553164,167.64918393067478,17.121372375406622,168.52118639695888,199.91499975866117,12.412558934194223,200.29997191163145
d,398.5432207762202,63.746031594552505,51.6237928950236,550.52977128434,190.83579322438675,283.5809757430135,229.96319453144736,179.39764835352315,291.6617682759992,200.0044220438582,212.51347381093527,291.82828065197657
e,49.44205186067188,36.73891309062751,139.9816240735363,387.38050349488617,73.02493841868184,390.8505595487673,49.729196655719306,79.1849234924288,93.50532128453978,0.20327899043599018,211.8615299480721,211.86162747011505
f,34.542122553326294,27.808844713077605,103.97686648612273,277.6538748669713,192.46392383703082,544.6445734287938,74.82702858387208,98.44905086497764,123.65799538609124,200.0079126694801,211.85835139850514,291.35395344442276
a,134.57494210174167,95.22955639712319,93.54951762612097,101.51848073518559,324.74298688631956,467.76717162667615,119.02050635111266,55.45499272562694,131.30551073840954,199.8474165085193,11.998399813038574,200.2072713045236
b,215.17389491166006,207.98927453062265,124.91587930450913,283.5588213099978,268.2050140361391,278.0263908967069,21.990294276740883,6.175109787481617,22.840863014893156,0.3267375940086481,12.1845232847229,12.188903360487075
c,259.0912366875146,209.77527705142,22.560079287197823,476.2068423110084,328.54307158180177,107.62531673646703,169.98658050209764,15.204249475164218,170.66518904832103,200.00567659347308,12.357506746527292,200.38707204458927
d,388.953172192145,72.73961537074769,38.803444106239795,550.3925045477614,191.40022466359122,282.01583034415097,232.72760959099878,169.29152260761538,287.7876993423192,200.08415911699882,212.39662784712004,291.79787225129746
e,61.12367637184951,36.73891309062751,133.84183515745474,387.4971787845092,73.43213404561504,389.2832105297019,39.604892338447655,82.36744496389659,91.39443903772572,0.10678646314164553,211.77264898040022,211.77267590396198
f,20.113043073834717,0.05670989433755835,116.60447304982819,277.31056417953164,193.67588454053546,543.3375531417909,91.72528385320845,84.22075727509096,124.525754982419,199.94489912607014,211.68531305293465,291.1848801858594
a,134.57494210174167,103.09936895429985,157.6287058179987,101.1980856422419,326.1857253783172,468.1805147668661,160.06459764389314,29.814663097861853,162.81765737947592,199.89769435502444,11.877451151302424,200.25024857489277
b,213.1633271428795,208.41450730148009,118.38301682897747,283.1784389451524,269.3325193705774,278.11278136574913,23.766888517336213,8.11813649746881,25.115117558694067,0.3004116958845202,12.084986663417538,12.088719942243841
c,265.1922284159426,215.93212001820922,38.28578679708289,476.0549193014129,329.79020173463925,107.01687264444297,177.0098406288161,18.966173217243835,178.02303054926733,200.0317057601381,12.22729453124255,200.40506490821087
d,398.1532598156062,79.90202026344625,33.24400869993127,550.6291684238082,192.7921495402935,281.351768660135,238.23024129627396,166.8867511812804,290.86910387307125,200.13524389009126,212.26794210839586,291.7392587463669
e,24.095600368172654,36.73891309062751,122.31590702975302,386.92050848945075,74.389044052538,388.4102877385653,57.46842559445196,60.43527177129852,83.39689451278011,0.0908732333365947,211.64487939306872,211.6448989020315
f,39.25880966945573,16.01161835921033,147.56826003128202,277.37652268666085,194.0962514952929,543.1468242332882,105.8567470843197,117.77403851138789,158.35521794546432,199.92795601837832,211.6477835537204,291.14596318837926
