"actual coordinate","rssi1","distance1","rssi2","distance2","rssi3","distance3","x measured","y measured","x predicted","y predicted","x estimated","y estimated"
"(100,300)","-58.8","138.07730300626272","-54.3","575.7792284212155","-39.8","121.10589148442301","296.3344127889614","705.8196632530878","419.1477428623851","21577.97868423847","318.81185780849466","3567.2285801976977"
"(100,100)","-56.5","156.70116145924493","-64.0","50.516932497106936","-44.3","173.136531613974","304.51750381386694","281.60775522240095","288.3556124198267","-3498.3271114196505","301.55953479722865","-236.5915993094868"
"(300,100)","-41.2","363.5872445085965","-69.1","14.053673403390816","-48.6","243.6202226578252","239.29594043207868","193.03032138441006","282.6861488075866","-4303.106865465439","247.23726912930974","-423.3547408731324"
"(500,100)","-47.7","254.28186439566537","-59.5","156.21180018655102","-49.6","263.75908896198206","304.0913253745993","259.11008091528475","200.95183262886619","-922.7765371137857","285.2146100019085","97.08271690066397"
"(500,500)","-60.4","126.44342885805904","-48.0","2796.685338541507","-48.4","239.78086144704952","334.58910067908863","10043.384352130235","307.4652510459648","536.0696285307233","329.62486073855024","8740.006244599961"
"(300,300)","-60.25","127.49112541516863","-48.0","2796.685338541507","-53.5","359.5294060960225","394.17283899011113","9998.363990449165","370.63628732998586","16720.68231745538","389.8651506864985","10919.940986056616"
"(100,300)","-62.5","112.64828868691399","-54.6","534.0364115408912","-44.2","171.7668310489821","314.0118394204327","642.6226853189028","447.28838836725464","13569.836801239968","338.4042754634856","2414.842114241772"
"(100,100)","-55.1","169.24661552979316","-57.7","245.37176314980854","-42.6","151.26858558951898","295.1981400983034","355.5550015299677","309.5575925260444","-5187.4309413598785","297.8262245417014","-404.3447954523808"
"(300,100)","-43.3","323.91941006488685","-65.0","39.308507702148525","-47.4","221.47281098334122","253.4386848233987","218.1977045836829","260.57692513953083","-3609.220420702689","254.7451342456497","-306.51123141901735"
"(500,100)","-48.45","244.00399383892116","-57.6","251.60520724411697","-55.15","409.8733482338466","390.3818438192332","249.42265626433857","213.82169171278468","-474.6852719533349","358.0675900961243","150.15315182842357"
"(500,500)","-55.85","162.4058020462346","-42.9","10052.885135971836","-56.45","454.45617333667786","450.1289741212686","126492.55816004054","433.75631324751805","557.3024575397778","447.1324298201637","109227.82463424024"
"(300,300)","-60.6","125.05988083050998","-47.8","2940.5846684267453","-59.8","592.9898182219546","579.9974589346378","10891.749678790384","534.5420249182864","209521.02511373494","571.6781501303906","38122.261831067764"
"(100,300)","-67.2","86.98325028515153","-52.7","860.1548784482844","-50.5","283.303619101169","360.57904563804254","1182.4411271317354","689.852112250467","-19125.56379449887","420.84300266207697","-1601.6266976944753"
"(100,100)","-58.4","141.14932427897594","-55.1","471.0810795987983","-45.0","183.0351847705378","311.3156225996445","556.5060978147139","324.4078826739305","-42741.23834637126","313.7117839576973","-5379.274283359569"
"(300,100)","-44.1","309.9730647148869","-63.9","51.800268731457656","-43.1","157.39676255985603","240.5753666796535","240.3184337301496","209.70380920684545","-12176.450760510925","234.92521669336213","-1461.9230092566613"
"(500,100)","-51.1","210.90412339371164","-67.2","22.635789389652672","-47.5","223.23887625031782","304.462538837529","254.19288299288175","152.13203885390828","1590.2120087438398","276.5828255074737","437.35060211446194"
"(500,500)","-56.4","157.56557635570388","-49.4","1968.3984988243037","-46.7","209.49542782456962","315.8845195225785","5112.7937845099","294.5361578106621","2430.827321885631","311.97731640397416","4745.117266571788"
"(300,300)","-63.5","106.61868676472552","-50.1","1651.3827164138675","-51.9","316.6240210979744","374.0693553073466","3651.5696481482514","344.90962585392856","8866.78510428084","368.73250616662506","4366.534688140433"
"(100,300)","-59.65","131.7694449371726","-53.55","694.974395382993","-42.1","145.37900662062106","303.1432241224567","892.1753614317898","421.758701936094","4352.774963827508","324.8523730998927","1366.5963616637864"
"(100,100)","-50.8","214.41366067655406","-58.0","227.58281198383915","-39.6","119.1973091135139","273.5289838459851","339.62916014769996","301.20876563176637","-1390.9242832434074","278.59497116506463","102.38388768099776"
"(300,100)","-44.1","309.9730647148869","-65.7","32.97776861043192","-44.8","180.15062050510662","246.97578768302952","233.5234497049575","237.82655195576743","-1281.5551216242507","245.30128343540613","25.8180882576346"
"(500,100)","-52.5","195.27079456735598","-65.5","34.674591180620105","-50.9","292.44874488409664","339.49632097776407","236.7173143448977","211.52381373631798","-155.44233004987905","316.0746370969682","182.9553100333918"
"(500,500)","-60.8","123.69147162956371","-47.2","3418.250904353367","-45.8","195.04277199147552","318.95175229352515","14884.71076697826","367.09398414115077","313.7347663833695","327.76280210380725","12887.144505983193"
"(300,300)","-57.6","147.4999316265026","-49.1","2122.257854306912","-47.7","226.81336788005066","324.7400616827235","5896.722666659903","348.25845810913046","24575.836086365867","329.04442719338175","8457.482271986368"
"(100,300)","-57.0","152.4497023255762","-57.2","278.1632749877895","-42.4","148.884650735568","299.10477290457936","380.83879008753524","335.14016021586485","5331.90874332155","305.7000133067587","1059.5915581933177"
"(100,100)","-49.7","227.78905244392286","-56.9","299.90583485771236","-50.5","283.303619101169","323.6442401521","342.3363915964265","289.1996567324397","-5991.9035690746505","317.3401506124703","-526.0381108368138"
"(300,100)","-41.75","352.75115183551077","-61.25","100.70490210281191","-49.0","251.48435650312933","249.00917203709454","207.8782487050008","324.3942200381819","-2552.555805500181","262.80623518511","-170.5555591714906"
