label,rssi1,rssi2,rssi3,dist1,dist2,dist3,estimated x,estimated y,predicted x,predicted y,measured x,measured y
a,-58.0,-52.86,-55.1,275.9962983390512,251.85275633726687,267.507819299023,303.8446027589498,100.54673020851244,45.473273439099444,182.07773619195888,285.29437592436193,106.40039307051202
b,-44.0,-35.02,-49.0,103.06443887395848,89.64421224792034,164.27078739611517,286.36448914055353,100.959375358152,405.98391355335946,-11.896266486695168,294.9527774096959,92.8567048285079
c,-57.0,-42.95,-48.0,257.2447460220365,141.88577026930523,151.65018291617812,335.98090114785987,118.06843357789015,288.43460235674513,96.51835764579198,332.56723048230236,116.521207738648
d,-51.62,-43.75,-54.84,176.17781985933212,148.6129074300738,262.00522783038576,268.65990399994575,122.19610694450016,378.00902488602384,144.2801623272724,276.510817651779,123.78167078339996
e,-62.23,-29.0,-58.0,371.6706643325218,63.26108690937249,337.3004666981788,320.3062315754741,239.9417233289231,205.75257751758915,128.87100615035231,312.08164925398114,231.9672046245192
f,-58.93,-52.7,-60.2,294.6598945886179,249.53023209533177,402.15662070281695,237.57875491988835,165.0148297468653,365.1016454991692,357.1017758744463,246.73448652941042,178.8060519850679
a,-58.0,-52.8,-62.13,275.9962983390512,250.97928724061495,469.24516407283454,179.9857772425976,193.98985965936606,164.07586058579557,99.06245486921136,178.84349662005334,187.1743786371038
b,-43.76,-36.0,-50.22,101.33867569699741,94.87819711206384,181.09879778506013,281.22729386068926,103.16409823546503,114.23706795578477,210.17366733366424,269.23793506515415,110.84703962632543
c,-56.52,-42.52,-49.2,248.70199922317227,138.39665218690735,166.91824848932893,328.32581894904786,119.62944963953784,384.6110911013252,20.15381783382624,332.3669196726452,112.48742060958493
d,-52.53,-43.53,-54.2,187.82693357666759,146.7317733723435,248.93778486092964,277.7574468711228,121.36784442143428,388.41370283294157,129.41185965275025,285.7022085989878,121.94537873065737
e,-61.27,-29.0,-57.76,347.3951970881825,63.26108690937249,330.89085614132864,309.32888690166305,226.35515712748014,224.14797406960034,131.24826823328362,303.2131725181375,219.52678972633078
f,-58.26,-52.83,-61.39,281.09169267953934,251.41564246305657,442.29184236857185,202.82538822305247,180.13435185563202,333.9555652043383,331.7649355243029,212.24011134370957,191.02093795448172
a,-57.75,-53.22,-65.32,271.18400564148527,257.1577800852383,605.5476355944164,55.71068828481085,279.98028510813356,103.43760392796742,141.74191398493323,59.13732665690276,270.05521660951246
b,-43.61,-36.0,-50.24,100.27477888849126,94.87819711206384,181.38856928555424,280.9610151780629,103.09568735882804,-99.81873477408789,369.9396322617854,253.62225915499914,122.25422062340039
c,-56.42,-43.38,-48.62,246.9582858525674,145.462852509799,159.3557456172867,329.66178440833085,115.03985355744044,503.78470369922303,-62.86384189185634,342.16324754841514,102.26694290213135
d,-53.0,-44.36,-53.0,194.142017292385,153.95587564246745,226.1673660643619,288.7828711715547,113.39873566323121,406.70130966166255,108.82548649148049,297.2490341461005,113.0703911455543
e,-61.54,-29.0,-56.6,354.0577708094289,63.26108690937249,301.5869752653465,328.6685011840345,217.69229905395778,236.40249479469423,125.53052842433107,322.0440999699006,211.07538163066113
f,-58.55,-52.51,-63.07,286.8860734770242,246.8000364681474,505.8644521063524,155.33731270850365,222.73871691160429,361.0879682219685,323.31420696236125,170.10954514306692,229.9597122107063
a,-58.0,-53.87,-55.0,275.9962983390512,267.0209212587868,265.37789261810445,304.79044233869365,89.9993986296889,-10.369474552893308,235.40205219254744,282.16297835923865,100.43883946487136
b,-44.0,-36.0,-50.72,103.06443887395848,94.87819711206384,188.4839035120523,279.2467472310527,105.0904474181708,440.4713395343203,-48.960914951328505,290.82215215857536,94.03005722838378
c,-56.51,-43.02,-48.25,248.52707527775922,142.46203376437208,154.7113901855774,331.52507741080257,115.69403704419301,277.3305161028668,110.74205537147026,327.6340829722569,115.33850075635664
